AtcoCode,TiplocCode,CrsCode,StationName,StationNameLang,GridType,Easting,Northing,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Latitude,Longitude
9100SEAHAM,SEAHAM,SEA,Seaham Rail Station,"",U,442080,549555,2003-11-04T00:00:00,2011-01-24T15:59:01,2,rev,54.839061911, -1.3463511926
9100YAAM,YAAM,YRM,Yarm Rail Station,"",U,442100,511145,2003-11-04T00:00:00,2009-10-16T14:38:56,2,rev,54.493908683, -1.3515575298
9100EGLSCLF,EGLSCLF,EAG,Eaglescliffe Rail Station,"",U,442200,515100,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev,54.529441791, -1.3494493173
9100ALFRETN,ALFRETN,ALF,Alfreton Rail Station,"",U,442300,356100,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev,53.1004491479, -1.3696938892
9100FTHRSTN,FTHRSTN,FEA,Featherstone Rail Station,"",U,442475,420480,2003-11-04T00:00:00,2010-07-26T14:35:50,2,rev,53.6790826979, -1.358447032
9100ROTHCEN,ROTHCEN,RMC,Rotherham Central Rail Station,"",U,442590,393020,2005-04-04T00:00:00,2007-02-13T17:06:21,3,rev,53.4322702249, -1.3604360441
9100CASTLFD,CASTLFD,CFD,Castleford Rail Station,"",U,442680,425490,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev,53.7240933891, -1.3546560801
9100HINCKLY,HINCKLY,HNK,Hinckley Rail Station,"",U,442700,293200,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev,52.5350144159, -1.3719130606
9100WDHOUSE,WDHOUSE,WDH,Woodhouse Rail Station,"",U,442850,385400,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev,53.363760625, -1.357553357
9100STDENYS,STDENYS,SDN,St Denys Rail Station,"",U,443130,113815,2003-11-04T00:00:00,2010-05-05T17:29:03,2,rev,50.9221787802, -1.3877499436
9100CSFD,CSFD,CFR,Chandlers Ford Rail Station,"",U,443255,120655,2005-04-04T00:00:00,2011-05-23T18:36:02,2,rev,50.9836745047, -1.3851600502
9100HANDBRO,HANDBRO,HND,Hanborough Rail Station,"",U,443273,214245,2005-09-02T00:00:00,2006-09-18T18:24:34,1,rev,51.8251625822, -1.3735084455
9100GLASHTN,GLASHTN,GLH,Glasshoughton Rail Station,"",U,443530,423825,2005-04-25T00:00:00,2010-07-26T14:36:04,2,rev,53.7090594596, -1.3420084086
9100BITERNE,BITERNE,BTE,Bitterne Rail Station,"",U,443890,113380,2003-11-04T00:00:00,2010-10-06T16:46:38,3,rev,50.9182096759, -1.3769901266
9100WOLSTON,WOLSTON,WLS,Woolston Rail Station,"",U,443904,111234,2003-11-04T00:00:00,2006-11-24T15:29:01,2,rev,50.898912011, -1.3770486087
9100SWYTHLN,SWYTHLN,SWG,Swaythling Rail Station,"",U,443910,115930,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev,50.9411378896, -1.3763987158
9100STOCTON,STOCTON,STK,Stockton Rail Station,"",U,444156,519591,2005-04-04T00:00:00,2009-10-16T14:38:41,4,rev,54.5696329596, -1.3185563444
9100MCKLFLD,MCKLFLD,MIK,Micklefield Rail Station,"",U,444450,432712,2005-04-04T00:00:00,2010-07-26T14:36:51,2,rev,53.7888521389, -1.3267968915
9100CATTAL,CATTAL,CTL,Cattal Rail Station,"",U,444640,455925,2003-11-04T00:00:00,2011-11-03T16:09:31,2,rev,53.997454781, -1.3205413788
9100SHOLING,SHOLING,SHO,Sholing Rail Station,"",U,444760,111000,2003-11-04T00:00:00,2010-10-06T16:46:38,2,rev,50.896742165, -1.3649055402
9100SOTPKWY,SOTPKWY,SOA,Southampton Airport Parkway Rail Station,"",U,444836,117013,2003-11-04T00:00:00,2007-03-20T18:24:34,2,rev,50.9508051335, -1.3630864575
